onset	duration	trial_type	stim_file
136.072	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble51_lcm.png
137.088	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble13_lcm.png
138.105	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble53_lcm.png
139.121	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble56_lcm.png
140.021	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble28_lcm.png
141.037	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble09_lcm.png
142.053	0.899	scramble	stimuli/visualarea_localizer/lcm/scramble27_lcm.png
143.070	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble24_lcm.png
144.086	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble05_lcm.png
145.103	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble22_lcm.png
146.019	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble15_lcm.png
147.035	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble34_lcm.png
155.999	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble25_lcm.png
157.015	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble25_lcm_mirror.png
158.032	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble56_lcm.png
159.048	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble49_lcm.png
160.064	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble09_lcm.png
161.081	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble11_lcm.png
162.097	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble02_lcm.png
163.113	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble13_lcm.png
164.013	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble24_lcm.png
165.029	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble57_lcm.png
166.046	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble42_lcm.png
167.062	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble18_lcm.png
168.079	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble45_lcm.png
169.095	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble43_lcm.png
170.011	0.900	scramble	stimuli/visualarea_localizer/lcm/scramble34_lcm.png
171.028	0.883	scramble	stimuli/visualarea_localizer/lcm/scramble46_lcm.png
180.008	0.899	body	stimuli/visualarea_localizer/lcm/body24_lcm.png
181.024	0.883	body	stimuli/visualarea_localizer/lcm/body20_lcm.png
182.041	0.900	body	stimuli/visualarea_localizer/lcm/body17_lcm.png
183.057	0.883	body	stimuli/visualarea_localizer/lcm/body17_lcm_mirror.png
184.073	0.900	body	stimuli/visualarea_localizer/lcm/body03_lcm.png
185.090	0.883	body	stimuli/visualarea_localizer/lcm/body05_lcm.png
186.106	0.900	body	stimuli/visualarea_localizer/lcm/body15_lcm.png
187.122	0.883	body	stimuli/visualarea_localizer/lcm/body22_lcm.png
188.022	0.900	body	stimuli/visualarea_localizer/lcm/body12_lcm.png
189.038	0.883	body	stimuli/visualarea_localizer/lcm/body04_lcm.png
190.055	0.900	body	stimuli/visualarea_localizer/lcm/body23_lcm.png
191.071	0.883	body	stimuli/visualarea_localizer/lcm/body02_lcm.png
192.088	0.900	body	stimuli/visualarea_localizer/lcm/body18_lcm.png
193.104	0.883	body	stimuli/visualarea_localizer/lcm/body19_lcm.png
194.020	0.900	body	stimuli/visualarea_localizer/lcm/body09_lcm.png
195.036	0.883	body	stimuli/visualarea_localizer/lcm/body09_lcm_mirror.png
204.000	0.899	object	stimuli/visualarea_localizer/lcm/object23_lcm.png
205.017	0.883	object	stimuli/visualarea_localizer/lcm/object17_lcm.png
206.033	0.900	object	stimuli/visualarea_localizer/lcm/object13_lcm.png
207.049	0.883	object	stimuli/visualarea_localizer/lcm/object13_lcm_mirror.png
208.066	0.900	object	stimuli/visualarea_localizer/lcm/object18_lcm.png
209.082	0.883	object	stimuli/visualarea_localizer/lcm/object22_lcm.png
210.099	0.900	object	stimuli/visualarea_localizer/lcm/object05_lcm.png
211.115	0.883	object	stimuli/visualarea_localizer/lcm/object02_lcm.png
212.014	0.900	object	stimuli/visualarea_localizer/lcm/object01_lcm.png
213.031	0.883	object	stimuli/visualarea_localizer/lcm/object15_lcm.png
214.047	0.900	object	stimuli/visualarea_localizer/lcm/object16_lcm.png
215.064	0.883	object	stimuli/visualarea_localizer/lcm/object10_lcm.png
216.080	0.900	object	stimuli/visualarea_localizer/lcm/object12_lcm.png
217.096	0.883	object	stimuli/visualarea_localizer/lcm/object12_lcm_mirror.png
218.013	0.900	object	stimuli/visualarea_localizer/lcm/object19_lcm.png
219.029	0.883	object	stimuli/visualarea_localizer/lcm/object09_lcm.png
228.009	0.899	face	stimuli/visualarea_localizer/lcm/face22_lcm.png
229.026	0.883	face	stimuli/visualarea_localizer/lcm/face08_lcm.png
230.042	0.900	face	stimuli/visualarea_localizer/lcm/face04_lcm.png
231.058	0.883	face	stimuli/visualarea_localizer/lcm/face15_lcm.png
232.075	0.900	face	stimuli/visualarea_localizer/lcm/face03_lcm.png
233.091	0.883	face	stimuli/visualarea_localizer/lcm/face24_lcm.png
234.108	0.899	face	stimuli/visualarea_localizer/lcm/face05_lcm.png
235.124	0.883	face	stimuli/visualarea_localizer/lcm/face10_lcm.png
236.024	0.900	face	stimuli/visualarea_localizer/lcm/face19_lcm.png
237.040	0.883	face	stimuli/visualarea_localizer/lcm/face14_lcm.png
238.056	0.900	face	stimuli/visualarea_localizer/lcm/face13_lcm.png
239.072	0.883	face	stimuli/visualarea_localizer/lcm/face18_lcm.png
240.089	0.900	face	stimuli/visualarea_localizer/lcm/face01_lcm.png
241.105	0.883	face	stimuli/visualarea_localizer/lcm/face07_lcm.png
242.022	0.900	face	stimuli/visualarea_localizer/lcm/face21_lcm.png
243.038	0.883	face	stimuli/visualarea_localizer/lcm/face06_lcm.png
252.002	0.900	house	stimuli/visualarea_localizer/lcm/house14_lcm.png
253.018	0.883	house	stimuli/visualarea_localizer/lcm/house15_lcm.png
254.034	0.900	house	stimuli/visualarea_localizer/lcm/house21_lcm.png
255.051	0.883	house	stimuli/visualarea_localizer/lcm/house18_lcm.png
256.067	0.900	house	stimuli/visualarea_localizer/lcm/house01_lcm.png
257.083	0.883	house	stimuli/visualarea_localizer/lcm/house07_lcm.png
258.100	0.900	house	stimuli/visualarea_localizer/lcm/house20_lcm.png
259.116	0.883	house	stimuli/visualarea_localizer/lcm/house16_lcm.png
260.016	0.900	house	stimuli/visualarea_localizer/lcm/house04_lcm.png
261.032	0.883	house	stimuli/visualarea_localizer/lcm/house04_lcm_mirror.png
262.049	0.900	house	stimuli/visualarea_localizer/lcm/house05_lcm.png
